,Feature 1 Name,Feature 2 Name,Correlation Type,r-Value,p-Value,Adjusted p-Value
0,Gender,Age,CLINICAL-CLINICAL,-0.1485786959936536,0.433284559713773,0.9008379846616394
1,Lesions Contoured,Age,CLINICAL-CLINICAL,0.08154378973015357,0.6683816173447221,0.9345917316033893
2,Lesions Contoured,Gender,CLINICAL-CLINICAL,0.09756788556561188,0.6080070325491667,0.9176194697882257
3,Race,Age,CLINICAL-CLINICAL,0.2432196267295784,0.19528111012656563,0.8248565078412803
4,Race,Gender,CLINICAL-CLINICAL,0.1336306209562122,0.4642143127710313,0.9104148569623948
5,Race,Lesions Contoured,CLINICAL-CLINICAL,0.1608027046467142,0.3959523784317281,0.8980496376191399
6,Performance Status (ECOG),Age,CLINICAL-CLINICAL,0.19109957280762677,0.3117382271539947,0.8980496376191399
7,Performance Status (ECOG),Gender,CLINICAL-CLINICAL,0.25,0.17090352023079353,0.819486410026126
8,Performance Status (ECOG),Lesions Contoured,CLINICAL-CLINICAL,-0.3205801954298676,0.08413191646713443,0.733935472901203
9,Performance Status (ECOG),Race,CLINICAL-CLINICAL,0.30066889715147743,0.09959271087045662,0.733935472901203
10,Diagnosis,Age,CLINICAL-CLINICAL,0.0009841036142371196,0.9958820480465287,0.9958820480465287
11,Diagnosis,Gender,CLINICAL-CLINICAL,0.3056249227510633,0.09413518979107989,0.733935472901203
12,Diagnosis,Lesions Contoured,CLINICAL-CLINICAL,-0.17189878787761886,0.36371527020720684,0.8980496376191399
13,Diagnosis,Race,CLINICAL-CLINICAL,0.10090091909944686,0.5804982381935844,0.912781926062092
14,Diagnosis,Performance Status (ECOG),CLINICAL-CLINICAL,0.008988968316207713,0.960732332176868,0.9911915103443381
15,Assigned Treatment Arm,Age,CLINICAL-CLINICAL,-0.014629751983734049,0.9388387198968409,0.9796352088906035
16,Assigned Treatment Arm,Gender,CLINICAL-CLINICAL,0.2672612419124244,0.1432349075246656,0.8080424438288032
17,Assigned Treatment Arm,Lesions Contoured,CLINICAL-CLINICAL,-0.12168853324616213,0.5217944724259801,0.9109128779726916
18,Assigned Treatment Arm,Performance Status (ECOG),CLINICAL-CLINICAL,0.1336306209562122,0.4642143127710313,0.9104148569623948
19,Assigned Treatment Arm,Diagnosis,CLINICAL-CLINICAL,0.20180183819889375,0.2690234716757094,0.8938566070476145
20,Best Response RECISTv1,Age,CLINICAL-CLINICAL,-0.17658721282114298,0.3505751373274122,0.8980496376191399
21,Best Response RECISTv1,Gender,CLINICAL-CLINICAL,0.2033553133277973,0.26535516087040756,0.8932531752756929
22,Best Response RECISTv1,Lesions Contoured,CLINICAL-CLINICAL,-0.11543824255956756,0.5435516292010043,0.9109128779726916
23,Best Response RECISTv1,Race,CLINICAL-CLINICAL,0.2075143391598224,0.2557043499428371,0.8915920952123118
24,Best Response RECISTv1,Performance Status (ECOG),CLINICAL-CLINICAL,0.12016450333006204,0.5104301263227603,0.9109128779726916
25,Best Response RECISTv1,Diagnosis,CLINICAL-CLINICAL,0.17216007539088785,0.34570158415046437,0.8980496376191399
26,Best Response RECISTv1,Assigned Treatment Arm,CLINICAL-CLINICAL,0.06917144638660747,0.7047861738648458,0.9490321910589873
27,Gr1 Gr2 Toxicities,Age,CLINICAL-CLINICAL,0.3206171860915682,0.08409412458547366,0.733935472901203
28,Gr1 Gr2 Toxicities,Gender,CLINICAL-CLINICAL,0.4642857142857143,0.010990598766230503,0.321082492527734
29,Gr1 Gr2 Toxicities,Lesions Contoured,CLINICAL-CLINICAL,0.09756788556561188,0.6080070325491667,0.9176194697882257
30,Gr1 Gr2 Toxicities,Race,CLINICAL-CLINICAL,0.1336306209562122,0.4642143127710313,0.9104148569623948
31,Gr1 Gr2 Toxicities,Performance Status (ECOG),CLINICAL-CLINICAL,0.01785714285714285,0.9220850727491523,0.9796352088906035
32,Gr1 Gr2 Toxicities,Diagnosis,CLINICAL-CLINICAL,0.035955873264830955,0.8438757208358556,0.9614071582781754
33,Gr1 Gr2 Toxicities,Best Response RECISTv1,CLINICAL-CLINICAL,0.2033553133277973,0.26535516087040756,0.8932531752756929
34,Gr3 Toxicities,Age,CLINICAL-CLINICAL,0.12122076012163426,0.5234079917869006,0.9109128779726916
35,Gr3 Toxicities,Gender,CLINICAL-CLINICAL,0.10482848367219182,0.565853274411922,0.9109128779726916
36,Gr3 Toxicities,Lesions Contoured,CLINICAL-CLINICAL,-0.16876024273259294,0.37267198364445625,0.8980496376191399
37,Gr3 Toxicities,Race,CLINICAL-CLINICAL,0.29417420270727607,0.10712339925384025,0.7554046602555288
38,Gr3 Toxicities,Performance Status (ECOG),CLINICAL-CLINICAL,0.17034628596731174,0.35080704298256926,0.8980496376191399
39,Gr3 Toxicities,Diagnosis,CLINICAL-CLINICAL,0.05276879542846427,0.7725610251155944,0.954620054737919
40,Gr3 Toxicities,Assigned Treatment Arm,CLINICAL-CLINICAL,0.19611613513818402,0.28274545993277156,0.8938566070476145
41,Gr3 Toxicities,Best Response RECISTv1,CLINICAL-CLINICAL,0.09495945709081692,0.6029838653982387,0.9176194697882257
42,Gr3 Toxicities,Gr1 Gr2 Toxicities,CLINICAL-CLINICAL,0.10482848367219182,0.565853274411922,0.9109128779726916
43,Component 1,Age,IMAGE-CLINICAL,0.16191546787684463,0.39264793586238667,0.8980496376191399
44,Component 1,Gender,IMAGE-CLINICAL,0.06078492019313937,0.749665029584245,0.954620054737919
45,Component 1,Lesions Contoured,IMAGE-CLINICAL,0.17394672870590724,0.3579401578994199,0.8980496376191399
46,Component 1,Race,IMAGE-CLINICAL,-0.0021174912916124278,0.9911395563952985,0.9947879228605573
47,Component 1,Performance Status (ECOG),IMAGE-CLINICAL,-0.056733773836297186,0.765871417904148,0.954620054737919
48,Component 1,Diagnosis,IMAGE-CLINICAL,0.11816562243644348,0.5340054187996994,0.9109128779726916
49,Component 1,Assigned Treatment Arm,IMAGE-CLINICAL,0.0918119635741566,0.6294307596624202,0.9277015520790266
50,Component 1,Best Response RECISTv1,IMAGE-CLINICAL,-0.3298846393501203,0.07502821875026616,0.733935472901203
51,Component 1,Gr1 Gr2 Toxicities,IMAGE-CLINICAL,0.008768193961197306,0.9633218224006709,0.9911915103443381
